time,TC,TT,TF,Power,TM,Status
22-07-13 23:41:47.00,40.800,40.801,40.820,1.594,NA,Ramp
22-07-13 23:41:48.00,40.801,40.801,40.820,1.779,NA,Ramp
22-07-13 23:41:49.00,40.804,40.802,40.820,1.600,NA,Ramp
22-07-13 23:41:50.00,40.805,40.803,40.820,1.552,NA,Ramp
22-07-13 23:41:51.00,40.805,40.804,40.820,1.600,NA,Ramp
22-07-13 23:41:52.00,40.807,40.805,40.820,1.554,NA,Ramp
22-07-13 23:41:53.00,40.807,40.806,40.820,1.652,NA,Ramp
22-07-13 23:41:54.00,40.810,40.806,40.820,1.588,NA,Ramp
22-07-13 23:41:55.00,40.807,40.807,40.820,1.690,NA,Ramp
22-07-13 23:41:56.00,40.810,40.808,40.820,1.618,NA,Ramp
22-07-13 23:41:57.00,40.807,40.809,40.820,1.803,NA,Ramp
22-07-13 23:41:58.00,40.809,40.810,40.820,1.811,NA,Ramp
22-07-13 23:41:59.00,40.812,40.811,40.820,1.530,NA,Ramp
22-07-13 23:42:00.00,40.812,40.811,40.820,1.653,NA,Ramp
22-07-13 23:42:01.00,40.812,40.812,40.820,1.667,NA,Ramp
22-07-13 23:42:02.00,40.812,40.813,40.820,1.694,NA,Ramp
22-07-13 23:42:03.00,40.812,40.814,40.820,1.741,NA,Ramp
22-07-13 23:42:04.00,40.817,40.815,40.820,1.431,NA,Ramp
22-07-13 23:42:05.00,40.816,40.816,40.820,1.601,NA,Ramp
22-07-13 23:42:06.00,40.815,40.816,40.820,1.716,NA,Ramp
22-07-13 23:42:07.00,40.816,40.817,40.820,1.791,NA,Ramp
22-07-13 23:42:08.00,40.818,40.818,40.820,1.690,NA,Ramp
22-07-13 23:42:09.00,40.819,40.819,40.820,1.681,NA,Ramp
22-07-13 23:42:10.00,40.821,40.820,40.820,1.542,NA,Ramp
22-07-13 23:42:11.00,40.820,40.820,40.820,1.621,NA,Ramp
22-07-13 23:42:12.00,40.823,40.820,40.820,1.650,NA,Ramp
22-07-13 23:42:13.00,40.823,40.820,40.820,1.682,NA,Ramp
22-07-13 23:42:14.00,40.822,40.820,40.820,1.588,NA,Ramp
22-07-13 23:42:15.00,40.824,40.820,40.820,1.523,NA,Ramp
22-07-13 23:42:16.00,40.825,40.820,40.820,1.572,NA,Ramp
22-07-13 23:42:17.00,40.823,40.820,40.820,1.653,NA,Ramp
22-07-13 23:42:18.00,40.823,40.820,40.820,1.620,NA,Ramp
22-07-13 23:42:19.00,40.822,40.820,40.820,1.703,NA,Ramp
22-07-13 23:42:20.00,40.824,40.820,40.820,1.637,NA,Ramp
22-07-13 23:42:21.00,40.821,40.820,40.820,1.654,NA,Ramp
22-07-13 23:42:22.00,40.824,40.820,40.820,1.696,NA,Ramp
22-07-13 23:42:23.00,40.823,40.820,40.820,1.666,NA,Ramp
22-07-13 23:42:24.00,40.821,40.820,40.820,1.615,NA,Ramp
22-07-13 23:42:25.00,40.820,40.820,40.820,1.703,NA,Ramp
22-07-13 23:42:26.00,40.821,40.820,40.820,1.608,NA,Ramp
22-07-13 23:42:27.00,40.822,40.820,40.820,1.575,NA,Ramp
22-07-13 23:42:28.00,40.823,40.820,40.820,1.567,NA,Ramp
22-07-13 23:42:29.00,40.823,40.820,40.820,1.545,NA,Ramp
22-07-13 23:42:30.00,40.825,40.820,40.820,1.534,NA,Ramp
22-07-13 23:42:31.00,40.823,40.820,40.820,1.616,NA,Ramp
22-07-13 23:42:32.00,40.823,40.820,40.820,1.687,NA,Ramp
22-07-13 23:42:33.00,40.823,40.820,40.820,1.561,NA,Ramp
22-07-13 23:42:34.00,40.823,40.820,40.820,1.540,NA,Ramp
22-07-13 23:42:35.00,40.823,40.820,40.820,1.584,NA,Ramp
22-07-13 23:42:36.00,40.820,40.820,40.820,1.634,NA,Ramp
22-07-13 23:42:37.00,40.821,40.820,40.820,1.623,NA,Ramp
22-07-13 23:42:38.00,40.820,40.820,40.820,1.639,NA,Ramp
22-07-13 23:42:39.00,40.820,40.820,40.820,1.736,NA,Ramp
